"Triad","Narration","Listener","OldOrNew","Transcript","Audience","Hedges","Rising Intonation","ID"
1,1,1,"New","ur over two cliffs and there’s a road underneath","okay okay",NA,NA,"1-1-1-New"
1,1,1,"New","and he’s gonna drop an anvil on the roadrunner as he comes by","okay",NA,NA,"1-1-1-New"
1,1,1,"New","so he takes the anvil in his arms",NA,NA,NA,"1-1-1-New"
1,1,1,"New","and it’s real heavy",NA,NA,NA,"1-1-1-New"
1,1,1,"New","and he’s and he walks on the rope",NA,NA,NA,"1-1-1-New"
1,1,1,"New","and the rope stretches all the way down to the ground","okay",NA,NA,"1-1-1-New"
1,1,1,"New","the roadrunner comes over",NA,NA,NA,"1-1-1-New"
1,1,1,"New","just beeps in his face",NA,"just",NA,"1-1-1-New"
1,1,1,"New","and runs away",NA,NA,NA,"1-1-1-New"
1,1,1,"New","so he throws the anvil down the ground",NA,NA,NA,"1-1-1-New"
1,1,1,"New","he gets shot up in the air",NA,NA,NA,"1-1-1-New"
1,1,1,"New","and as he’s going all the way up in the air he’s y you see his back ?",NA,NA,"?","1-1-1-New"
1,1,1,"New","and he’s got a parachute on ?",NA,NA,"?","1-1-1-New"
1,1,1,"New","and he’s like okay I’m gonna be fine",NA,"like",NA,"1-1-1-New"
1,1,1,"New","and he lets the parachute go ?",NA,NA,"?","1-1-1-New"
1,1,1,"New","all these cans",NA,NA,NA,"1-1-1-New"
1,1,1,"New","and like sandwiches and apples and stuff flying out",NA,"like, and stuff",NA,"1-1-1-New"
1,1,1,"New","and he grabs something as it’s flying out and it’s a bottle of aspirin",NA,NA,NA,"1-1-1-New"
1,1,1,"New","he  just takes a whole bunch of aspirin",NA,"just",NA,"1-1-1-New"
1,1,1,"New","and he just goes like this",NA,"just",NA,"1-1-1-New"
1,1,1,"New","and falls all the way to the ground",NA,NA,NA,"1-1-1-New"
1,1,1,"New","um and then",NA,NA,NA,"1-1-1-New"
1,1,1,"New","you see him chasing the roadrunner again",NA,NA,NA,"1-1-1-New"
1,1,1,"New","they go all the way to this it’s called the old cactus mine","okay",NA,NA,"1-1-1-New"
1,1,1,"New","and they’re they’re running through an abandoned mine shaft",NA,NA,NA,"1-1-1-New"
1,1,1,"New","I guess it is",NA,"I guess",NA,"1-1-1-New"
1,1,1,"New","and  the roadrunner’s got on",NA,NA,NA,"1-1-1-New"
1,1,1,"New","a hat with a green light on it ?","yeah",NA,"?","1-1-1-New"
1,1,1,"New","and the coyote’s got a hat on with a red light on it",NA,NA,NA,"1-1-1-New"
1,1,1,"New","so they they go to a like a cut scene",NA,"like",NA,"1-1-1-New"
1,1,1,"New","where you see like the whole maze of the whole thing",NA,"like",NA,"1-1-1-New"
1,1,1,"New","you see two lights chasing each other around",NA,NA,NA,"1-1-1-New"
1,1,1,"New","and um the roadrunner eventually loses thee uh the coyote",NA,NA,NA,"1-1-1-New"
1,1,1,"New","and he he like falls all around and everything",NA,"like, and everything",NA,"1-1-1-New"
1,1,1,"New","his hat goes out",NA,NA,NA,"1-1-1-New"
1,1,1,"New","so he lights a match",NA,NA,NA,"1-1-1-New"
1,1,1,"New","Listener",NA,NA,NA,"1-1-1-New"
1,1,1,"New","and he’s in a whole like tnt like stock room or whatever",NA,"like, like, or whatever",NA,"1-1-1-New"
1,1,1,"New","and the whole thing blows up",NA,NA,NA,"1-1-1-New"
1,1,1,"New","then you see um above there’s a whole bunch of cactuses and stuff",NA,"and stuff",NA,"1-1-1-New"
1,1,1,"New","and they all get blown up and come back to the ground",NA,NA,NA,"1-1-1-New"
1,1,1,"New","and it says YIPE",NA,NA,NA,"1-1-1-New"
1,1,1,"New","and then it’s over so that’s all the cartoon","I see",NA,NA,"1-1-1-New"
1,2,2,"New","okay so the cartoon starts out with uh",NA,NA,NA,"1-2-2-New"
1,2,2,"New","the coyote chasing the roadrunner",NA,NA,NA,"1-2-2-New"
1,2,2,"New","it’s a coyote and roadrunner cartoon","okay",NA,NA,"1-2-2-New"
1,2,2,"New","and the coyote is chasing with a fork and a knife",NA,NA,NA,"1-2-2-New"
1,2,2,"New","and they they slow it down ? and then like they stop",NA,"like","?","1-2-2-New"
1,2,2,"New","and they give them the Latin names underneath ?",NA,NA,"?","1-2-2-New"
1,2,2,"New","and he’s got like acceleritis maximus",NA,"like",NA,"1-2-2-New"
1,2,2,"New","and then the coyote’s got carnivorus vulgaris or something",NA,"or something",NA,"1-2-2-New"
1,2,2,"New","you know like they they give them like those names",NA,"you know, like, like",NA,"1-2-2-New"
1,2,2,"New","and um he goes after him with the fork and knife",NA,NA,NA,"1-2-2-New"
1,2,2,"New","and they get stuck in the ground",NA,NA,NA,"1-2-2-New"
1,2,2,"New","and he’s sitting there and he’s trying to think of a new plan",NA,NA,NA,"1-2-2-New"
1,2,2,"New","‘cause that one didn’t work",NA,NA,NA,"1-2-2-New"
1,2,2,"New","so um he he takes a big rock",NA,NA,NA,"1-2-2-New"
1,2,2,"New","and he ties a boxing glove to it attached to a spring?",NA,NA,"?","1-2-2-New"
1,2,2,"New","and there’s a big like metal band around the uh the big rock",NA,"like",NA,"1-2-2-New"
1,2,2,"New","so that when the roadrunner comes by",NA,NA,NA,"1-2-2-New"
1,2,2,"New","he’s gonna punch him with the boxing glove then he",NA,NA,NA,"1-2-2-New"
1,2,2,"New","so he pushes it all the way in",NA,NA,NA,"1-2-2-New"
1,2,2,"New","he ties it with a clip",NA,NA,NA,"1-2-2-New"
1,2,2,"New","as the roadrunner comes by",NA,NA,NA,"1-2-2-New"
1,2,2,"New","he lets the clip go",NA,NA,NA,"1-2-2-New"
1,2,2,"New","and the rock comes back",NA,NA,NA,"1-2-2-New"
1,2,2,"New","and hits him knocks him into the cliff in the you know in the back",NA,"you know",NA,"1-2-2-New"
1,2,2,"New","and the pun uh boxing glove comes back and hits him in the face",NA,NA,NA,"1-2-2-New"
1,2,2,"New","um",NA,NA,NA,"1-2-2-New"
1,2,2,"New","so he tries to think of a new plan and he gets out a blueprint with",NA,NA,NA,"1-2-2-New"
1,2,2,"New","showing him ? and like an anvil ? and like there’s a",NA,"like, like","?, ?","1-2-2-New"
1,2,2,"New","uh a tightrope that goes across two cliffs ? and a road underneath ?",NA,NA,"?, ?","1-2-2-New"
1,2,2,"New","and he’s gonna drop an anvil from this tightrope on the roadrunner",NA,NA,NA,"1-2-2-New"
1,2,2,"New","as he comes underneath",NA,NA,NA,"1-2-2-New"
1,2,2,"New","so he picks up the anvil",NA,NA,NA,"1-2-2-New"
1,2,2,"New","which is real heavy and everything",NA,"and everything",NA,"1-2-2-New"
1,2,2,"New","and steps on the tightrope",NA,NA,NA,"1-2-2-New"
1,2,2,"New","and the tightrope stretches all the way down to the ground",NA,NA,NA,"1-2-2-New"
1,2,2,"New","so he’s just standing there on the ground with the anvil",NA,"just",NA,"1-2-2-New"
1,2,2,"New","the roadrunner comes up",NA,NA,NA,"1-2-2-New"
1,2,2,"New","and like you know puts his tongue out and like beeps in his face",NA,"like, you know, like",NA,"1-2-2-New"
1,2,2,"New","and um the coyote like throws the anvil ? down the ground",NA,"like","?","1-2-2-New"
1,2,2,"New","because he gets all mad ?",NA,NA,"?","1-2-2-New"
1,2,2,"New","and he gets shot up into the air like a like a bow ’n arrow ?",NA,"like, like","?","1-2-2-New"
1,2,2,"New","and um he he’s got like a good look on his face",NA,"like",NA,"1-2-2-New"
1,2,2,"New","‘cause he’s got a backpack on",NA,NA,NA,"1-2-2-New"
1,2,2,"New","so he’s like oh I’ll be fine I got a parachute",NA,"like",NA,"1-2-2-New"
1,2,2,"New","so he pulls the string",NA,NA,NA,"1-2-2-New"
1,2,2,"New","and all this stuff comes flying out of his backpack",NA,NA,NA,"1-2-2-New"
1,2,2,"New","like apples and you know whatever",NA,"like, you know, whatever",NA,"1-2-2-New"
1,2,2,"New","and he he grabs something that comes out of the bag",NA,NA,NA,"1-2-2-New"
1,2,2,"New","and it was a bottle of aspirin ?",NA,NA,"?","1-2-2-New"
1,2,2,"New","and he took a whole bunch of aspirin",NA,NA,NA,"1-2-2-New"
1,2,2,"New","and just goes like you know",NA,"just, like, you know",NA,"1-2-2-New"
1,2,2,"New","and falls to the ground",NA,NA,NA,"1-2-2-New"
1,2,2,"New","and then um",NA,NA,NA,"1-2-2-New"
1,2,2,"New","last thing you see is uh",NA,NA,NA,"1-2-2-New"
1,2,2,"New","they’re chasing each other again",NA,NA,NA,"1-2-2-New"
1,2,2,"New","and they run into a uh",NA,NA,NA,"1-2-2-New"
1,2,2,"New","like the old cactus mine shaft ?",NA,"like","?","1-2-2-New"
1,2,2,"New","and it’s like an abandoned mine shaft",NA,"like",NA,"1-2-2-New"
1,2,2,"New","that they’re chasing each other through",NA,NA,NA,"1-2-2-New"
1,2,2,"New","and uh the roadrunner’s got a hat on ?",NA,NA,"?","1-2-2-New"
1,2,2,"New","that’s got a uh a green light ?",NA,NA,"?","1-2-2-New"
1,2,2,"New","and the coyote’s got a hat on",NA,NA,NA,"1-2-2-New"
1,2,2,"New","that’s got a red light?",NA,NA,"?","1-2-2-New"
1,2,2,"New","so they like go to a cut scene",NA,"like",NA,"1-2-2-New"
1,2,2,"New","where you see the whole maze and everything",NA,NA,NA,"1-2-2-New"
1,2,2,"New","and you see the two lights chasing each other through",NA,NA,NA,"1-2-2-New"
1,2,2,"New","and eventually the roadrunner loses the coyote",NA,NA,NA,"1-2-2-New"
1,2,2,"New","and the coyote bounces all around like the whole thing",NA,"like",NA,"1-2-2-New"
1,2,2,"New","and his light goes out",NA,NA,NA,"1-2-2-New"
1,2,2,"New","and he lights a match",NA,NA,NA,"1-2-2-New"
1,2,2,"New","and there’s a whole bunch of tnt and dynamite and stuff around him",NA,"and stuff",NA,"1-2-2-New"
1,2,2,"New","and it goes to a cut scene where on on the top of the",NA,NA,NA,"1-2-2-New"
1,2,2,"New","I guess where the mine shaft is",NA,"I guess",NA,"1-2-2-New"
1,2,2,"New","there’s a whole bunch of cactuses ?",NA,NA,"?","1-2-2-New"
1,2,2,"New","and you see them all like blow up and they come back down",NA,"like",NA,"1-2-2-New"
1,2,2,"New","and it makes the word YIPE",NA,NA,NA,"1-2-2-New"
1,2,2,"New","and then the cartoon’s over",NA,NA,NA,"1-2-2-New"
1,3,1,"Old","okay",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","so the cartoon starts out",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","and you got the coyote chasing the roadrunner",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","with a fork and a knife",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","and it slows down",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","and it gives them the Latin names underneath ?",NA,NA,"?","1-3-1-Old"
1,3,1,"Old","you know you got uh",NA,"you know",NA,"1-3-1-Old"
1,3,1,"Old","acceleratis maximus ? for thee uh road runner",NA,NA,"?","1-3-1-Old"
1,3,1,"Old","and you got carnivorus uh vulgaris  for the coyote ?",NA,NA,"?","1-3-1-Old"
1,3,1,"Old","um so the coyote swings out at him and misses ?",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","and his fork and knife get stuck in the ground",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","and so he’s trying to think of a new plan",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","and he’s sitting there and",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","he gets an idea",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","so he ties a huge boxing glove to a attached to a spring",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","on a metal belt around a rock","okay",NA,NA,"1-3-1-Old"
1,3,1,"Old","and he puts a clip in it you know",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","and he’s gonna let go of the clip",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","and he’s gonna hit thee the roadrunner as he comes by",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","but when he does",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","the rock comes back and hits him",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","knocks him against the wall",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","the boxing glove comes and hits him in the face","okay",NA,NA,"1-3-1-Old"
1,3,1,"Old","so that plan didn’t work",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","um",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","then he has a blueprint you see","okay",NA,NA,"1-3-1-Old"
1,3,1,"Old","wh where he he shows himself with an anvil ?",NA,NA,"?","1-3-1-Old"
1,3,1,"Old","and there’s a tightrope attached to two cliffs",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","and there’s a road that runs underneath","mm-hmm",NA,NA,"1-3-1-Old"
1,3,1,"Old","and he’s gonna drop the anvil from the tightrope on the roadrunner",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","and you know he’s gonna get dinner I guess",NA,"you know, I guess",NA,"1-3-1-Old"
1,3,1,"Old","and um when he picks the anvil",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","it’s real heavy",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","so when he steps onto the tightrope",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","it just stretches all the way down to the ground",NA,"just",NA,"1-3-1-Old"
1,3,1,"Old","the roadrunner comes up",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","and he beeps in his face",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","and makes him all angry",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","so he throws the anvil down",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","but it shoots him like a bow ’n arrow up into the sky","okay",NA,NA,"1-3-1-Old"
1,3,1,"Old","and as he goes up into the sky he doesn’t look worried or anything",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","because he’s got his backpack on",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","that I guess is supposed to be a parachute","okay","I guess",NA,"1-3-1-Old"
1,3,1,"Old","but when he he pulls the l the string",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","like an apple comes out and a sandwich comes out",NA,"like",NA,"1-3-1-Old"
1,3,1,"Old","and he grabs something that comes out",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","there’s a bottle of aspirin",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","he takes a bunch of aspirin",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","and goes like this",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","and hits the ground",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","um",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","the last scene that you see is when",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","he is chasing the roadrunner again",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","and they go into like the old cactus mine shaft",NA,"like",NA,"1-3-1-Old"
1,3,1,"Old","it’s like an abandoned mine shaft",NA,"like",NA,"1-3-1-Old"
1,3,1,"Old","and uh the roadrunner puts on a a hat",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","that’s got a green light on it ?",NA,NA,"?","1-3-1-Old"
1,3,1,"Old","and they coyote’s got one with a red light on it ?",NA,NA,"?","1-3-1-Old"
1,3,1,"Old","and they’re chasing each other through the mine shaft",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","it goes through a cut scene where you see like the mine shafting lines ?",NA,"like","?","1-3-1-Old"
1,3,1,"Old","and you see like the lights chasing each other through ?",NA,"like","?","1-3-1-Old"
1,3,1,"Old","and eventually uh the road runner loses the coyote","okay",NA,NA,"1-3-1-Old"
1,3,1,"Old","and he kinda bounces around in like this one place",NA,"kinda, like",NA,"1-3-1-Old"
1,3,1,"Old","and his light goes out ‘cause he’s",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","he’s getting all knocked out around and everything",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","he lights a match",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","and there’s all this dynamite and tnt all around him",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","and it goes to this scene where you see the cactuses",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","I guess above of where he is ?",NA,"I guess","?","1-3-1-Old"
1,3,1,"Old","and it all blows up",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","and the cactuses come back down and it makes the word YIPE",NA,NA,NA,"1-3-1-Old"
1,3,1,"Old","and the cartoon’s over",NA,NA,NA,"1-3-1-Old"
10,1,1,"New","okaysoo",NA,NA,NA,"10-1-1-New"
10,1,1,"New","thee coyote is chasing after the roadrunner",NA,NA,NA,"10-1-1-New"
10,1,1,"New","and the coyote is wearing a bib",NA,NA,NA,"10-1-1-New"
10,1,1,"New","and he’s holding a knife and a fork",NA,NA,NA,"10-1-1-New"
10,1,1,"New","’cause he wants to eat thee roadrunner",NA,NA,NA,"10-1-1-New"
10,1,1,"New","soo he’s running after the roadrunner",NA,NA,NA,"10-1-1-New"
10,1,1,"New","aand he lunges forward trying to capture him",NA,NA,NA,"10-1-1-New"
10,1,1,"New","but hee misses",NA,NA,NA,"10-1-1-New"
10,1,1,"New","the roadrunner is too fast for him",NA,NA,NA,"10-1-1-New"
10,1,1,"New","so he he k",NA,NA,NA,"10-1-1-New"
10,1,1,"New","the roadrunner keeps going",NA,NA,NA,"10-1-1-New"
10,1,1,"New","and so the coyote thinks",NA,NA,NA,"10-1-1-New"
10,1,1,"New","okay how am I gonna get the roadrunner ?",NA,NA,NA,"10-1-1-New"
10,1,1,"New","so the area the area that they’re in",NA,NA,NA,"10-1-1-New"
10,1,1,"New","is really like mountainous ?",NA,"like","?","10-1-1-New"
10,1,1,"New","and there’s lots of cliffs ?",NA,NA,"?","10-1-1-New"
10,1,1,"New","soo thee coyote",NA,NA,NA,"10-1-1-New"
10,1,1,"New","hee goes up to an area where he’s on an edge of a cliff",NA,NA,NA,"10-1-1-New"
10,1,1,"New","aand then there’s like a space",NA,"like",NA,"10-1-1-New"
10,1,1,"New","and then there’s a cliff on the other side",NA,NA,NA,"10-1-1-New"
10,1,1,"New","like in front of him ?","uh-huh","like","?","10-1-1-New"
10,1,1,"New","and between them down below",NA,NA,NA,"10-1-1-New"
10,1,1,"New","there’s a path where the roadrunner is gonna run ?","mm-hmm",NA,"?","10-1-1-New"
10,1,1,"New","so what the coyote does is",NA,NA,NA,"10-1-1-New"
10,1,1,"New","he puts um like a rope",NA,"like",NA,"10-1-1-New"
10,1,1,"New","um attaching both cliffs ?","mm-hmm",NA,"?","10-1-1-New"
10,1,1,"New","and then he gets an anvil",NA,NA,NA,"10-1-1-New"
10,1,1,"New","and he w he starts to walk across the rope",NA,NA,NA,"10-1-1-New"
10,1,1,"New","with the anvil",NA,NA,NA,"10-1-1-New"
10,1,1,"New","aand but the rope bends down so low",NA,NA,NA,"10-1-1-New"
10,1,1,"New","that he he’s practically on the ground",NA,NA,NA,"10-1-1-New"
10,1,1,"New","so when the",NA,NA,NA,"10-1-1-New"
10,1,1,"New","when the roadrunner comes up to him",NA,NA,NA,"10-1-1-New"
10,1,1,"New","he sees the coyote with the anvil",NA,NA,NA,"10-1-1-New"
10,1,1,"New","and he just turns around",NA,"just",NA,"10-1-1-New"
10,1,1,"New","and he’s so fast that",NA,NA,NA,"10-1-1-New"
10,1,1,"New","thee coyote didn’t have time to drop the anvil on",NA,NA,NA,"10-1-1-New"
10,1,1,"New","the roadrunner ?","mm-hmm mm-hmm",NA,"?","10-1-1-New"
10,1,1,"New","so when he dropped it",NA,NA,NA,"10-1-1-New"
10,1,1,"New","he missed the roadrunner",NA,NA,NA,"10-1-1-New"
10,1,1,"New","and when he dropped the anvil",NA,NA,NA,"10-1-1-New"
10,1,1,"New","he shot back up into the air",NA,NA,NA,"10-1-1-New"
10,1,1,"New","because he didn’t have weight holding him down anymore ?","mm-hmm mm-hmm",NA,"?","10-1-1-New"
10,1,1,"New","so he sh he shot back up into the air",NA,NA,NA,"10-1-1-New"
10,1,1,"New","and then he was wearing a book bag",NA,NA,NA,"10-1-1-New"
10,1,1,"New","um it was supposed to be a parachute",NA,NA,NA,"10-1-1-New"
10,1,1,"New","so he pulled the string of his parachute",NA,NA,NA,"10-1-1-New"
10,1,1,"New","and everything came out of his book bag",NA,NA,NA,"10-1-1-New"
10,1,1,"New","but there was no parachute",NA,NA,NA,"10-1-1-New"
10,1,1,"New","there was no like balloon part",NA,"like",NA,"10-1-1-New"
10,1,1,"New","so he just ends up falling to the ground",NA,"just",NA,"10-1-1-New"
10,1,1,"New","and then he sees the roadrunner",NA,NA,NA,"10-1-1-New"
10,1,1,"New","uh run into a mine",NA,NA,NA,"10-1-1-New"
10,1,1,"New","so he follows the roadrunner into the mine",NA,NA,NA,"10-1-1-New"
10,1,1,"New","and they’re going in circles for a bit",NA,NA,NA,"10-1-1-New"
10,1,1,"New","and then um there’s",NA,NA,NA,"10-1-1-New"
10,1,1,"New","after they go in circles there’s kind of a zigzag pa",NA,"kind of",NA,"10-1-1-New"
10,1,1,"New","zigzag path ?","mm-hmm",NA,"?","10-1-1-New"
10,1,1,"New","and the coyote is still following the roadrunner",NA,NA,NA,"10-1-1-New"
10,1,1,"New","and at the end of the zigzag path",NA,NA,NA,"10-1-1-New"
10,1,1,"New","there it um it ends in like",NA,"like",NA,"10-1-1-New"
10,1,1,"New","it splits? into two paths ?","mm-hmm",NA,"?, ?","10-1-1-New"
10,1,1,"New","and the roadrunner takes the top path",NA,NA,NA,"10-1-1-New"
10,1,1,"New","and the coyote takes the bottom path",NA,NA,NA,"10-1-1-New"
10,1,1,"New","and so the the coyote’s going along the bottom path",NA,NA,NA,"10-1-1-New"
10,1,1,"New","and then it gets really dark and he can’t see anymore","mm-hmm",NA,NA,"10-1-1-New"
10,1,1,"New","so he lights a match",NA,NA,NA,"10-1-1-New"
10,1,1,"New","so he could see where he is",NA,NA,NA,"10-1-1-New"
10,1,1,"New","aand then you see him sitting there with the match",NA,NA,NA,"10-1-1-New"
10,1,1,"New","and there’s like a whole bunch of TNT around him ?",NA,"like","?","10-1-1-New"
10,1,1,"New","so then that explodes and that’s the end of him",NA,NA,NA,"10-1-1-New"
10,1,1,"New","and then um you see above the ground",NA,NA,NA,"10-1-1-New"
10,1,1,"New","it says YIPE ?",NA,NA,NA,"10-1-1-New"
10,1,1,"New","and then that’s it",NA,NA,NA,"10-1-1-New"
10,2,1,"Old","okay so",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","the coyote is going after the roadrunner ",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","aand the coyote is wearing a bib",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","and holding a knife and a fork",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","aand he’s he’s running after the roadrunner",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","and he lunges forward to try and get him",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","but he misses",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","’cause the roadrunner is too fast ",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","and he just takes off",NA,"just",NA,"10-2-1-Old"
10,2,1,"Old","so now the coyote is thinking",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","okay how am I gonna get this roadrunner ? ",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","soo he knows the roadrunner’s path",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","where he’s running ?",NA,NA,"?","10-2-1-Old"
10,2,1,"Old","so he goes to a cliff",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","that’s above the roadrunner’s path ",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","aand he ties a rope from that cliff",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","to thee cliff like a cross thee road ?",NA,"like","?","10-2-1-Old"
10,2,1,"Old","aand then he gets an anvil ",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","and h he walks across the rope with the anvil",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","aand the um ",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","because the anvil is so heavy ",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","uh he starts to like go down to the ground",NA,"like",NA,"10-2-1-Old"
10,2,1,"Old","on the rope",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","aand when thee roadrunner comes on the path ? ",NA,NA,"?","10-2-1-Old"
10,2,1,"Old","where the coyote is ",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","um the coyote is too slow ",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","to like throw thee anvil on him ?",NA,"like","?","10-2-1-Old"
10,2,1,"Old","and thee  roadrunner just turns around ",NA,"just",NA,"10-2-1-Old"
10,2,1,"Old","and goes back ",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","and then when thee coyote finally ",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","throws the anvil and misses the roadrunner ",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","hee gets uh like popped up into the air",NA,"like",NA,"10-2-1-Old"
10,2,1,"Old","by thee rope ",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","and then he’s wearing ",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","what’s supposed to be a parachute",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","but he pulls the string of the parachute ",NA,NA,NA,"10-2-1-Old"
10,2,1,"Old","and like everything comes out except ",NA,"like",NA,"10-2-1-Old"
